county,year,month,num_pregnant_women,link
crane,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
crockett,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
crosby,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
culberson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dallam,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dallas,2017,august,33,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dawson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
deaf smith,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
delta,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
denton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dewitt,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dickens,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dickens (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
dimmit,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
donley,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
duval,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
eastland,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
ector,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
edwards,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
el paso,2017,august,12,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
ellis,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
erath,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
falls,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
fannin (private facility - 1),2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
fannin (private facility - 2),2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
fayette,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
fisher,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
floyd,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
foard,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
fort bend,2017,august,10,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
franklin,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
freestone,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
frio (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
gaines,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
galveston,2017,august,5,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
garza,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
gillespie,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
glasscock,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
goliad,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
gonzales,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
gray,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
grayson,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
gregg,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
grimes,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
guadalupe,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hale,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hall,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hamilton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hansford,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hardeman,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hardin,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
harris,2017,august,51,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
harrison,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
haskell (private facility),2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hays,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hemphill,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
henderson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hidalgo,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hidalgo (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hill,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hockley,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hood,2017,august,4,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hopkins,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
houston,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
howard,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hudspeth,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hunt,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
hutchinson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
irion,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jack,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jackson,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jasper,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jeff davis,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jefferson,2017,august,4,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jefferson (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jim hogg,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jim wells,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
johnson,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
jones,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
karnes,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
karnes (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kaufman,2017,august,6,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kendall,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kenedy,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kent,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kerr,2017,august,6,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kimble,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
king,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kinney,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
kleberg,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
knox,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
la salle,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lamar,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lamb,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lampasas,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lavaca,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lee,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
leon,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
liberty (private facility),2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
limestone,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lipscomb,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
live oak,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
llano,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
loving,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lubbock,2017,august,6,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
lynn,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
madison,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
marion,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
martin,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mason,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
matagorda,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
maverick,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mcculloch,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mclennan,2017,august,14,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mclennan (private facility - 1),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mclennan (private facility - 2),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mcmullen,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
medina,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
menard,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
midland,2017,august,4,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
milam,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mills,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
mitchell,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
montague,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
montgomery,2017,august,10,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
moore,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
morris,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
motley,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
nacogdoches,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
navarro,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
newton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
newton (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
nolan,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
nueces,2017,august,6,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
ochiltree,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
oldham,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
orange,2017,august,4,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
palo pinto,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
panola,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
parker,2017,august,4,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
parmer,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
pecos,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
polk,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
polk (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
potter,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
presidio,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
rains,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
randall,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
reagan,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
real,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
red river,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
reeves,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
refugio,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
roberts,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
robertson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
rockwall,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
runnels,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
rusk,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
sabine,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
san augustine,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
san jacinto,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
san patricio,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
san saba,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
schleicher,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
scurry,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
shackelford,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
shelby,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
sherman,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
smith,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
somervell,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
starr,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
stephens,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
sterling,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
stonewall,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
sutton,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
swisher,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
tarrant,2017,august,8,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
taylor,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
terrell,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
terry,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
throckmorton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
titus,2017,august,5,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
tom green,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
travis,2017,august,30,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
trinity,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
tyler,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
upshur,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
upton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
uvalde,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
val verde (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
van zandt,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
victoria,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
walker,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
waller,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
ward,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
washington,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
webb,2017,august,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wharton,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wheeler,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wichita,2017,august,10,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wilbarger,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
willacy,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
williamson,2017,august,8,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wilson,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
winkler,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wise,2017,august,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
wood,2017,august,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
yoakum,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
young,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
zapata,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
zavala,2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
zavala (private facility),2017,august,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting August 2017.pdf
anderson,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
andrews,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
angelina,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
aransas,2017,july,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
archer,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
armstrong,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
atascosa,2017,july,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
austin,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bailey,2017,july,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bandera,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bastrop,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
baylor,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bee,2017,july,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bell,2017,july,6,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
bexar,2017,july,14,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
blanco,2017,july,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting July 2017.pdf
